second,Volt1,Volt2
0.0,3.61331658,0.08040201
1.0,3.61331658,0.08040201
2.0,3.61331658,0.08040201
3.0,3.61331658,0.08040201
4.0,3.61331658,0.08040201
5.0,3.61331658,0.08040201
6.0,3.61331658,0.08040201
7.0,3.61331658,0.08040201
8.0,3.61331658,0.08040201
9.0,3.61331658,0.16080402
10.0,3.61331658,0.16080402
11.0,3.61331658,0.16080402
12.0,3.61331658,0.24120603
13.0,3.61331658,0.24120603
14.0,3.61331658,0.40201005
15.0,3.69371859,0.56281406
16.0,3.69371859,0.72361808
17.0,3.61331658,0.8844221
18.0,3.69371859,0.96482411
19.0,3.61331658,1.04522612
20.0,3.69371859,1.20603014
21.0,3.69371859,1.28643215
22.0,3.61331658,1.36683416
23.0,3.69371859,1.44723617
24.0,3.69371859,1.60804018
25.0,3.69371859,1.60804018
26.0,3.69371859,1.7688442
27.0,3.69371859,1.7688442
28.0,3.69371859,1.84924621
29.0,3.69371859,1.92964822
30.0,3.69371859,1.92964822
31.0,3.61331658,2.01005023
32.0,3.69371859,2.09045224
33.0,3.69371859,2.09045224
34.0,3.69371859,2.25125626
35.0,3.69371859,2.25125626
36.0,3.69371859,2.25125626
37.0,3.69371859,2.33165827
38.0,3.69371859,2.41206028
39.0,3.61331658,2.41206028
40.0,3.69371859,2.49246228
41.0,3.61331658,2.49246228
42.0,3.69371859,2.49246228
43.0,3.69371859,2.49246228
44.0,3.61331658,2.57286429
45.0,3.69371859,2.57286429
46.0,3.69371859,2.6532663
47.0,3.69371859,2.6532663
48.0,3.69371859,2.6532663
49.0,3.69371859,2.6532663
50.0,3.69371859,2.6532663
51.0,3.69371859,2.73366831
52.0,3.69371859,2.73366831
53.0,3.7741206,2.73366831
54.0,3.69371859,2.81407032
55.0,3.7741206,2.81407032
56.0,3.7741206,2.81407032
57.0,3.69371859,2.81407032
58.0,3.69371859,2.81407032
59.0,3.7741206,2.89447233
60.0,3.7741206,2.89447233
61.0,3.69371859,2.81407032
62.0,3.69371859,2.89447233
63.0,3.7741206,2.89447233
64.0,3.7741206,2.89447233
65.0,3.7741206,2.97487434
66.0,3.7741206,2.89447233
67.0,3.7741206,2.89447233
68.0,3.69371859,2.89447233
69.0,3.7741206,2.97487434
70.0,3.69371859,2.97487434
71.0,3.7741206,2.97487434
72.0,3.7741206,2.97487434
73.0,3.69371859,2.97487434
74.0,3.69371859,2.97487434
75.0,3.7741206,3.05527635
76.0,3.7741206,3.05527635
77.0,3.7741206,3.05527635
78.0,3.7741206,2.97487434
79.0,3.7741206,3.05527635
80.0,3.7741206,2.97487434
81.0,3.7741206,3.05527635
82.0,3.7741206,3.05527635
83.0,3.7741206,3.05527635
84.0,3.7741206,3.05527635
85.0,3.7741206,3.05527635
86.0,3.7741206,2.97487434
87.0,3.7741206,3.13567836
88.0,3.7741206,3.05527635
89.0,3.7741206,3.05527635
90.0,3.7741206,3.05527635
91.0,3.7741206,3.05527635
92.0,3.7741206,3.13567836
93.0,3.7741206,3.13567836
94.0,3.7741206,3.05527635
95.0,3.7741206,3.13567836
96.0,3.7741206,3.13567836
97.0,3.7741206,3.05527635
98.0,3.7741206,3.13567836
99.0,3.7741206,3.13567836
100.0,3.7741206,3.13567836
101.0,3.7741206,3.13567836
102.0,3.7741206,3.13567836
103.0,3.7741206,3.05527635
104.0,3.7741206,3.13567836
105.0,3.7741206,3.13567836
106.0,3.7741206,3.13567836
107.0,3.7741206,3.13567836
108.0,3.7741206,3.13567836
109.0,3.7741206,3.13567836
110.0,3.69371859,3.13567836
111.0,3.7741206,3.13567836
112.0,3.7741206,3.13567836
113.0,3.7741206,3.13567836
114.0,3.85452261,3.13567836
115.0,3.7741206,3.13567836
116.0,3.7741206,3.13567836
117.0,3.7741206,3.13567836
118.0,3.7741206,3.13567836
119.0,3.7741206,3.21608037
120.0,3.7741206,3.13567836
121.0,3.7741206,3.13567836
122.0,3.7741206,3.13567836
123.0,3.7741206,3.13567836
124.0,3.7741206,3.13567836
125.0,3.7741206,3.13567836
126.0,3.7741206,3.13567836
127.0,3.7741206,3.13567836
128.0,3.85452261,3.21608037
129.0,3.7741206,3.13567836
130.0,3.85452261,3.21608037
131.0,3.7741206,3.21608037
132.0,3.7741206,3.13567836
133.0,3.7741206,3.21608037
134.0,3.85452261,3.21608037
135.0,3.7741206,3.13567836
136.0,3.85452261,3.13567836
137.0,3.85452261,3.21608037
138.0,3.7741206,3.21608037
139.0,3.7741206,3.21608037
140.0,3.7741206,3.21608037
141.0,3.7741206,3.13567836
142.0,3.7741206,3.13567836
143.0,3.85452261,3.13567836
144.0,3.85452261,3.21608037
145.0,3.85452261,3.21608037
146.0,3.85452261,3.21608037
147.0,3.85452261,3.21608037
148.0,3.7741206,3.21608037
149.0,3.85452261,3.21608037
